Date,Adani enterprises_Open,Adani enterprises_High,Adani enterprises_Low,Adani enterprises_Close,Adani enterprises_Adj Close,Adani enterprises_Volume,D-mart_Open,D-mart_High,D-mart_Low,D-mart_Close,D-mart_Adj Close,D-mart_Volume,,,,,,,,,,,,,,,
15-09-2022,3590,3767.95,3575,3748.7,3748.7,4716688,4499,4539,4475,4525.85,4525.85,221683,,,,,,,,,,,,,,,
16-09-2022,3755,3866.95,3614.6,3702.2,3702.2,5687429,4528.9,4550,4285.4,4327.55,4327.55,584163,,,,,,,,,,,,,,,
19-09-2022,3718.949951,3801.95,3680.75,3778.65,3778.65,3092486,4340,4417.2,4271.25,4348,4348,235756,,,,,,,,,,,,,,,
20-09-2022,3819,3885,3812,3834.55,3834.55,3338704,4401.1,4412,4330,4349.3,4349.3,203661,,,,,,,,,,,,,,,
21-09-2022,3837.649902,3862.8,3571.25,3640.1,3640.1,6089846,4349,4394.95,4292.05,4308.7,4308.7,223827,,,,,,,,,,,,,,,
22-09-2022,3639,3735.95,3608.05,3716.3,3716.3,3490772,4288.75,4440.6,4257,4431.7,4431.7,465230,,,,,,,,,,,,,,,
23-09-2022,3732,3737.9,3655,3674.3,3674.3,3001474,4450,4469.9,4351,4367,4367,241647,,,,,,,,,,,,,,,
26-09-2022,3646.300049,3658,3532,3586.2,3586.2,3123908,4323,4448,4261,4375.3,4375.3,403076,,,,,,,,,,,,,,,
27-09-2022,3596,3629.55,3485.85,3559.1,3559.1,3546332,4375.3,4417.5,4270,4283.2,4283.2,237462,,,,,,,,,,,,,,,
28-09-2022,3528,3596.95,3503,3548.75,3548.75,2259832,4249,4367.95,4240,4318.15,4318.15,352261,,,,,,,,,,,,,,,
29-09-2022,3583.5,3664.75,3443.6,3470.7,3470.7,15060223,4365,4416.95,4220.1,4240.55,4240.55,518364,,,,,,,,,,,,,,,
30-09-2022,3447.949951,3523.8,3371.1,3455.75,3455.75,4307707,4270,4400,4251.2,4386.55,4386.55,352698,,,,,,,,,,,,,,,
03-10-2022,3440,3460.05,3110.2,3157.3,3157.3,7578847,4399,4465.85,4389.8,4443.75,4443.75,296102,,,,,,,,,,,,,,,
04-10-2022,3230,3291.2,3125,3237.7,3237.7,5642467,4600,4600,4460.55,4479.55,4479.55,605857,,,,,,,,,,,,,,,
06-10-2022,3270,3318.8,3208.05,3285,3285,2845165,4540,4540,4400,4413.85,4413.85,326251,,,,,,,,,,,,,,,
07-10-2022,3280,3310.95,3228.15,3277.6,3277.6,1930275,4435.95,4482,4411.25,4471.45,4471.45,213203,,,,,,,,,,,,,,,
10-10-2022,3234,3278.75,3214.35,3246.25,3246.25,1590792,4440.1,4495,4406.05,4471.75,4471.75,183914,,,,,,,,,,,,,,,
11-10-2022,3257.550049,3338,3249,3273.95,3273.95,2544394,4485,4486,4358.5,4381.1,4381.1,268072,,,,,,,,,,,,,,,
12-10-2022,3297,3297,3145,3223.65,3223.65,2972601,4398.75,4429,4330,4352.9,4352.9,207335,,,,,,,,,,,,,,,
13-10-2022,3218,3262.8,3189,3233.65,3233.65,1840193,4366,4366,4300.1,4309.95,4309.95,171144,,,,,,,,,,,,,,,
14-10-2022,3272,3305,3194.85,3209.5,3209.5,1344415,4398.5,4399,4291.15,4306.15,4306.15,188039,,,,,,,,,,,,,,,
17-10-2022,3211,3235,3136.1,3212.6,3212.6,1985298,4283.95,4307.95,4140.05,4153.45,4153.45,950223,,,,,,,,,,,,,,,
18-10-2022,3249,3298,3226.1,3284.3,3284.3,1635079,4188,4189,4110,4139.35,4139.35,346218,,,,,,,,,,,,,,,
19-10-2022,3300,3310,3259.65,3277.25,3277.25,1396513,4168,4194.1,4139.35,4167.85,4167.85,266990,,,,,,,,,,,,,,,
20-10-2022,3260,3365,3245,3357.1,3357.1,2211287,4155,4233,4140.45,4226.25,4226.25,292757,,,,,,,,,,,,,,,
21-10-2022,3374.899902,3382,3287,3311.9,3311.9,1120790,4244,4249.75,4190.5,4215.55,4215.55,184554,,,,,,,,,,,,,,,
24-10-2022,3325,3340.1,3287.4,3309.8,3309.8,248249,4271.9,4273,4210,4229.95,4229.95,71402,,,,,,,,,,,,,,,
25-10-2022,3321.949951,3345,3294,3300.5,3300.5,879424,4221,4249.5,4165,4235.6,4235.6,160107,,,,,,,,,,,,,,,
27-10-2022,3319.850098,3355,3297,3325,3325,1106870,4248,4300,4217.3,4271.4,4271.4,301435,,,,,,,,,,,,,,,
28-10-2022,3322,3387.95,3297.65,3323.3,3323.3,1323334,4281.4,4320,4251.55,4307.35,4307.35,120314,,,,,,,,,,,,,,,
31-10-2022,3339.949951,3360,3326.1,3347.45,3347.45,575722,4316.5,4348,4290,4320.9,4320.9,186409,,,,,,,,,,,,,,,
01-11-2022,3361.899902,3607.45,3352,3575.7,3575.7,4393335,4329,4347.1,4232.55,4247.5,4247.5,249229,,,,,,,,,,,,,,,
02-11-2022,3580,3625.15,3526,3580.7,3580.7,2534755,4264.8,4268,4177,4193.65,4193.65,254614,,,,,,,,,,,,,,,
03-11-2022,3550,3614.7,3542.45,3590.4,3590.4,1275216,4180,4230,4165,4194.2,4194.2,153178,,,,,,,,,,,,,,,
04-11-2022,3642,3849.8,3566.75,3833.25,3833.25,6112097,4200,4207.95,4150,4167.35,4167.35,532072,,,,,,,,,,,,,,,
07-11-2022,3852.449951,4013.7,3820,3960.6,3960.6,5985652,4188.8,4214.1,4140.5,4173.5,4173.5,395435,,,,,,,,,,,,,,,
09-11-2022,3977,4048,3943.05,3997.2,3997.2,3732472,4199,4199,4118,4158.7,4158.7,361585,,,,,,,,,,,,,,,
10-11-2022,3995,4030,3962.15,3992.25,3992.25,2313795,4158.7,4175,4104.4,4138.85,4138.85,254477,,,,,,,,,,,,,,,
11-11-2022,4040,4048.95,3975.15,4008.85,4008.85,1476875,4159.55,4169,4117.05,4128.35,4128.35,214392,,,,,,,,,,,,,,,
14-11-2022,3999,4078,3990,4022.55,4022.55,1803092,4144.8,4144.8,4081.8,4098.35,4098.35,300509,,,,,,,,,,,,,,,
15-11-2022,4025.050049,4065,4022,4057.8,4057.8,1065546,4082,4109.8,4046,4053.8,4053.8,496893,,,,,,,,,,,,,,,
16-11-2022,4057.300049,4096,3863.55,3956.6,3956.6,3059841,4053.8,4059.95,4003.15,4011.7,4011.7,290474,,,,,,,,,,,,,,,
17-11-2022,3970,4033,3900,4018.15,4018.15,2266112,4000,4009.95,3940,3949.2,3949.2,365371,,,,,,,,,,,,,,,
18-11-2022,4028.350098,4043,3984,4019.8,4019.8,1440776,3968.9,4020,3890.05,3910.6,3910.6,402297,,,,,,,,,,,,,,,
